iter	Passed	Remaining
439	1318	1678
440	1321	1674
441	1323	1670
442	1326	1668
443	1329	1664
444	1331	1660
445	1334	1657
446	1336	1653
447	1340	1651
448	1342	1647
449	1346	1645
450	1349	1642
451	1352	1639
452	1356	1637
453	1360	1635
454	1364	1633
455	1367	1631
456	1371	1629
457	1376	1628
458	1378	1625
459	1380	1621
460	1384	1618
461	1386	1614
462	1389	1611
463	1392	1608
464	1394	1604
465	1396	1600
466	1399	1597
467	1403	1595
468	1406	1591
469	1408	1588
470	1410	1584
471	1414	1582
472	1417	1578
473	1419	1574
474	1421	1571
475	1423	1567
476	1427	1564
477	1429	1561
478	1432	1558
479	1434	1554
480	1438	1552
481	1441	1549
482	1444	1546
483	1459	1556
484	1462	1552
485	1466	1551
486	1469	1547
487	1472	1544
488	1475	1541
489	1479	1539
490	1483	1537
491	1486	1535
492	1491	1533
493	1496	1533
494	1507	1538
495	1511	1536
496	1515	1533
497	1518	1530
498	1520	1526
499	1523	1523
500	1526	1520
501	1535	1522
502	1537	1519
503	1539	1515
504	1543	1512
505	1545	1509
506	1548	1505
507	1552	1503
508	1555	1500
509	1559	1498
510	1562	1495
511	1566	1493
512	1569	1489
513	1571	1486
514	1575	1483
515	1579	1481
516	1583	1479
517	1587	1476
518	1590	1474
519	1594	1471
520	1597	1468
521	1599	1464
522	1602	1461
523	1610	1462
524	1613	1459
525	1615	1455
526	1625	1458
527	1627	1455
528	1632	1453
529	1635	1450
530	1639	1448
531	1644	1446
532	1647	1443
533	1650	1440
534	1653	1436
535	1657	1434
536	1660	1431
537	1663	1428
538	1665	1424
539	1669	1421
540	1672	1418
541	1675	1415
542	1677	1412
543	1680	1409
544	1684	1406
545	1688	1403
546	1690	1400
547	1694	1397
548	1697	1394
549	1700	1391
550	1703	1388
551	1706	1385
552	1709	1381
553	1711	1377
554	1714	1374
555	1717	1371
556	1721	1369
557	1724	1365
558	1726	1361
559	1728	1358
560	1732	1356
561	1735	1352
562	1737	1348
563	1739	1345
564	1742	1341
565	1745	1338
566	1748	1334
567	1750	1331
568	1753	1327
569	1755	1324
570	1758	1321
571	1761	1317
572	1764	1314
573	1766	1311
574	1770	1308
575	1773	1305
576	1775	1301
577	1779	1298
578	1783	1296
579	1792	1298
580	1795	1294
581	1798	1291
582	1801	1288
583	1804	1285
584	1806	1281
585	1810	1278
586	1813	1275
587	1815	1272
588	1818	1268
589	1821	1266
590	1824	1262
591	1827	1259
592	1830	1256
593	1833	1252
594	1836	1249
595	1838	1246
596	1841	1242
597	1844	1239
598	1848	1237
599	1851	1234
600	1853	1230
601	1856	1227
602	1859	1224
603	1862	1221
604	1865	1217
605	1867	1214
606	1870	1211
607	1873	1207
608	1876	1204
609	1880	1202
610	1883	1199
611	1886	1195
612	1889	1192
613	1891	1189
614	1894	1186
615	1897	1183
616	1900	1179
617	1902	1176
618	1904	1172
619	1907	1169
620	1911	1166
621	1913	1163
622	1916	1160
623	1919	1156
624	1924	1154
625	1927	1151
626	1931	1149
627	1935	1146
628	1938	1143
629	1941	1140
630	1944	1137
631	1948	1134
632	1952	1131
633	1955	1129
634	1959	1126
635	1964	1124
636	1970	1122
637	1975	1120
638	1978	1117
639	1980	1114
640	1984	1111
641	1988	1108
642	1991	1105
643	1995	1102
644	1999	1100
645	2002	1097
646	2005	1094
647	2008	1091
648	2013	1089
649	2016	1086
650	2021	1083
651	2025	1080
652	2027	1077
653	2030	1074
654	2033	1070
655	2037	1068
656	2039	1064
657	2041	1061
658	2045	1058
659	2049	1055
660	2052	1052
661	2054	1049
662	2057	1046
663	2061	1043
664	2065	1040
665	2068	1037
666	2071	1034
667	2075	1031
668	2078	1028
669	2080	1024
670	2083	1021
671	2087	1019
672	2090	1015
673	2093	1012
674	2096	1009
675	2099	1006
676	2102	1003
677	2105	999
678	2107	996
679	2112	993
680	2115	991
681	2119	988
682	2122	984
683	2125	981
684	2128	979
685	2132	975
686	2134	972
687	2138	969
688	2140	966
689	2142	962
690	2145	959
691	2148	956
692	2151	953
693	2153	949
694	2156	946
695	2160	943
696	2163	940
697	2165	937
698	2168	933
