iter	RMSE
955	2169.441963
956	2164.096811
957	2158.602707
958	2155.162342
959	2151.186635
960	2148.446884
961	2142.621759
962	2137.486669
963	2131.446363
964	2126.843441
965	2124.791162
966	2120.720049
967	2119.00983
968	2118.076948
969	2113.432201
970	2109.352663
971	2104.755211
972	2100.444932
973	2096.386124
974	2091.991229
975	2086.868347
976	2082.660668
977	2077.666853
978	2073.370863
979	2072.198584
980	2068.525471
981	2062.837707
982	2060.888768
983	2056.442034
984	2053.931404
985	2048.697188
986	2042.224679
987	2042.07941
988	2039.3173
989	2036.979102
990	2033.216452
991	2029.127929
992	2028.956995
993	2028.809103
994	2026.672663
995	2026.379824
996	2025.098228
997	2020.401768
998	2012.945973
999	2008.119192
